winner_id,tourney_id,match_won
201495,2016-0528,5
204427,2016-0528,4
203530,2016-0528,4
201697,2016-0528,3
201605,2016-0528,3
201521,2016-0528,3
201619,2016-0528,3
211337,2016-0528,2
201499,2016-0528,2
201527,2016-0528,2
202469,2016-0528,2
201290,2016-0528,2
202480,2016-0528,2
202653,2016-0528,2
206420,2016-0528,1
201465,2016-0528,1
204426,2016-0528,1
201514,2016-0528,1
202600,2016-0528,1
202489,2016-0528,1
245109,2016-0528,1
201512,2016-0528,1
202536,2016-0528,1
201670,2016-0528,1
201595,2016-0528,1
201504,2016-0528,1
202470,2016-0528,1
214939,2016-0528,1
200067,2016-0528,1
104655,2016-0533,4
105807,2016-0533,4
105671,2016-0533,4
105438,2016-0533,3
105641,2016-0533,3
106148,2016-0533,3
105583,2016-0533,3
105487,2016-0533,3
106329,2016-0533,2
104216,2016-0533,2
103926,2016-0533,1
104593,2016-0533,1
105053,2016-0533,1
104851,2016-0533,1
106032,2016-0533,1
105070,2016-0533,1
105643,2016-0533,1
106043,2016-0533,1
106043,2016-0544,5
104297,2016-0544,4
